cliente_sk,cliente_id,nombre_completo,edad,sexo,estado_civil,profesion,ingreso_mensual,ciudad,segmento_rfm,antiguedad_meses,fecha_registro,fecha_carga,prob_churn
65,65,Atilio Espejo,68,M,Divorciado,Abogado,2943.97,Lima,Clientes Leales,11,2025-07-06,2026-06-28 16:57:12.401188,0.07
66,66,Angelino Priego,42,M,Casado,Enfermero,4079.56,Trujillo,Clientes Regulares,38,2023-04-12,2026-06-28 16:57:12.401188,0.06
67,67,Patricio Toledo,37,M,Casado,Empresario,1731.59,Trujillo,Clientes Regulares,71,2020-07-02,2026-06-28 16:57:12.401188,0.06
68,68,Luz Company,35,F,Conviviente,Empresario,3301.46,Huancayo,Clientes Regulares,64,2021-02-17,2026-06-28 16:57:12.401188,0.1
69,69,Valentín Blazquez,71,M,Soltero,Docente,2246.17,Lima,Clientes Leales,57,2021-09-18,2026-06-28 16:57:12.401188,0.41
70,70,Eleuterio Sabater,55,M,Conviviente,Empresario,1227.74,Trujillo,Campeones,96,2018-06-06,2026-06-28 16:57:12.401188,0.04
72,72,Anita Gilabert,34,F,Soltero,Arquitecto,4549.72,Cusco,Clientes Leales,6,2025-12-13,2026-06-28 16:57:12.401188,0.69
73,73,Adriana Moles,61,F,Viudo,Médico,1769.59,Huancayo,Clientes Leales,75,2020-03-18,2026-06-28 16:57:12.401188,0.73
74,74,Wálter Pomares,39,M,Divorciado,Arquitecto,4622.94,Arequipa,Clientes Leales,59,2021-07-09,2026-06-28 16:57:12.401188,0.02
75,75,Prudencia Bustos,60,F,Divorciado,Arquitecto,500.0,Lima,Clientes Regulares,57,2021-08-29,2026-06-28 16:57:12.401188,0.08
76,76,Fabiola Pastor,30,F,Casado,Economista,2960.58,Iquitos,Clientes Leales,12,2025-06-16,2026-06-28 16:57:12.401188,0.4
77,77,Arsenio Solera,37,M,Divorciado,Docente,1904.98,Lima,Campeones,28,2024-02-23,2026-06-28 16:57:12.401188,0.08
78,78,Florencia Atienza,45,F,Viudo,Enfermero,1511.1,Piura,Clientes Regulares,20,2024-10-20,2026-06-28 16:57:12.401188,0.68
79,79,Yolanda Company,61,F,Casado,Administrador,1910.38,Lima,Clientes Leales,33,2023-09-25,2026-06-28 16:57:12.401188,0.58
80,80,Ágata Calderon,36,F,Soltero,Independiente,548.65,Lima,Clientes Regulares,12,2025-06-12,2026-06-28 16:57:12.401188,0.08
81,81,Renato Cantón,61,M,Casado,Ingeniero,1584.77,Lima,Clientes Regulares,71,2020-07-09,2026-06-28 16:57:12.401188,0.03
82,82,Juan Beltrán,33,M,Viudo,Empresario,2240.08,Huancayo,Clientes Regulares,19,2024-11-08,2026-06-28 16:57:12.401188,0.09
83,83,José Plana,54,F,Viudo,Empresario,4388.47,Lima,Clientes Regulares,5,2026-01-21,2026-06-28 16:57:12.401188,0.04
84,84,Prudencio Acevedo,27,M,Soltero,Independiente,1324.83,Chiclayo,Clientes Regulares,9,2025-09-17,2026-06-28 16:57:12.401188,0.0
85,85,Estrella Viña,32,F,Soltero,Arquitecto,1113.1,Lima,Campeones,8,2025-10-21,2026-06-28 16:57:12.401188,0.13
86,86,Vidal Sainz,72,M,Viudo,Administrador,1338.02,Cusco,Clientes Regulares,40,2023-02-13,2026-06-28 16:57:12.401188,0.08
87,87,Gisela Cobos,53,F,Conviviente,Técnico,3131.42,Cusco,Clientes Leales,59,2021-07-23,2026-06-28 16:57:12.401188,0.67
88,88,Tiburcio Gil,45,M,Viudo,Enfermero,2202.28,Arequipa,Campeones,41,2023-01-01,2026-06-28 16:57:12.401188,0.84
89,89,Florencia Antón,66,F,Conviviente,Enfermero,1315.73,Huancayo,Clientes Regulares,16,2025-02-24,2026-06-28 16:57:12.401188,0.29
90,90,Juan Luis Collado,33,M,Divorciado,Contador,2460.11,Arequipa,Clientes Regulares,42,2022-12-07,2026-06-28 16:57:12.401188,0.07
91,91,Andrés Felipe Lillo,39,M,Casado,Abogado,1916.48,Lima,Clientes Regulares,29,2024-01-22,2026-06-28 16:57:12.401188,0.05
92,92,Atilio Ríos,42,M,Soltero,Empresario,3233.07,Chiclayo,Clientes Leales,81,2019-09-18,2026-06-28 16:57:12.401188,0.1
93,93,Eloísa López,39,F,Soltero,Contador,1186.51,Chiclayo,Clientes Regulares,39,2023-03-24,2026-06-28 16:57:12.401188,0.09
94,94,Pascual Guardia,42,M,Conviviente,Empresario,1485.35,Piura,Clientes Regulares,8,2025-10-19,2026-06-28 16:57:12.401188,0.02
96,96,Itziar Barco,69,F,Casado,Docente,751.36,Chiclayo,Campeones,72,2020-06-22,2026-06-28 16:57:12.401188,0.55
97,97,Feliciana Amat,49,F,Viudo,Técnico,2159.59,Lima,Clientes Leales,49,2022-05-12,2026-06-28 16:57:12.401188,0.26
98,98,Pablo Roldan,71,M,Viudo,Economista,2114.63,Iquitos,Clientes Leales,84,2019-06-07,2026-06-28 16:57:12.401188,0.08
99,99,Elodia Tenorio,59,F,Casado,Enfermero,1813.6,Lima,Campeones,90,2018-12-10,2026-06-28 16:57:12.401188,0.22
100,100,Natalia Rincón,21,F,Casado,Enfermero,1570.65,Trujillo,Clientes Leales,50,2022-04-02,2026-06-28 16:57:12.401188,0.93
101,101,Gloria Lloret,39,F,Divorciado,Médico,773.39,Piura,Clientes Leales,64,2021-02-13,2026-06-28 16:57:12.401188,0.12
102,102,Tatiana Ferrando,19,F,Casado,Administrador,1404.75,Lima,Clientes Leales,94,2018-08-02,2026-06-28 16:57:12.401188,0.3
103,103,Manolo Santamaria,67,M,Casado,Contador,1471.99,Lima,En Riesgo,96,2018-06-14,2026-06-28 16:57:12.401188,0.05
104,104,Fabricio Vives,57,M,Viudo,Administrador,1117.26,Lima,Clientes Leales,69,2020-09-04,2026-06-28 16:57:12.401188,0.02
105,105,Guiomar Arce,54,F,Divorciado,Abogado,1641.27,Iquitos,Clientes Leales,39,2023-03-20,2026-06-28 16:57:12.401188,0.09
106,106,Brunilda Fiol,56,F,Soltero,Economista,2304.07,Lima,Clientes Leales,79,2019-11-02,2026-06-28 16:57:12.401188,0.37
107,107,Antonia Riba,37,F,Viudo,Técnico,5606.67,Lima,Campeones,10,2025-08-06,2026-06-28 16:57:12.401188,0.13
108,108,Eustaquio Canals,22,M,Soltero,Técnico,2007.7,Arequipa,Clientes Leales,8,2025-09-29,2026-06-28 16:57:12.401188,0.25
109,109,Faustino Bosch,72,M,Conviviente,Independiente,2110.18,Lima,Clientes Regulares,21,2024-09-25,2026-06-28 16:57:12.401188,0.2
110,110,Lara Casas,40,F,Soltero,Arquitecto,1729.06,Huancayo,Clientes Leales,44,2022-10-21,2026-06-28 16:57:12.401188,0.74
71,71,Alonso Cervantes,64,M,Viudo,Economista,2245.85,Lima,,43,2022-11-23,2026-06-28 16:57:12.401188,0.82
95,95,Nazaret Corral,18,F,Viudo,Arquitecto,1429.01,Cusco,Clientes Regulares,61,2021-05-08,2026-06-28 16:57:12.401188,0.22
111,111,Teodora Morera,38,F,Soltero,Empresario,571.77,Trujillo,Clientes Leales,45,2022-09-17,2026-06-28 16:57:12.401188,0.26
112,112,Timoteo Vilanova,58,M,Viudo,Abogado,1779.51,Cusco,Clientes Leales,6,2025-12-07,2026-06-28 16:57:12.401188,0.04
113,113,Olalla Castañeda,59,F,Viudo,Empresario,1874.58,Iquitos,Clientes Regulares,19,2024-11-27,2026-06-28 16:57:12.401188,0.02
114,114,Miguel Ángel Parejo,35,M,Divorciado,Enfermero,7926.33,Lima,Campeones,68,2020-10-02,2026-06-28 16:57:12.401188,0.86
115,115,Imelda Gámez,66,F,Divorciado,Ingeniero,1610.96,Piura,Clientes Regulares,25,2024-05-23,2026-06-28 16:57:12.401188,0.02
116,116,Zaida Abascal,72,F,Casado,Comerciante,2166.63,Arequipa,Clientes Regulares,77,2020-01-15,2026-06-28 16:57:12.401188,0.06
117,117,María Dolores Gonzalez,39,F,Conviviente,Ingeniero,1770.78,Cusco,Clientes Leales,21,2024-09-07,2026-06-28 16:57:12.401188,0.33
118,118,Iris Palomino,30,F,Viudo,Arquitecto,896.76,Lima,Clientes Leales,69,2020-09-15,2026-06-28 16:57:12.401188,0.04
119,119,Eliana Valenzuela,62,F,Viudo,Independiente,3589.23,Lima,Clientes Leales,14,2025-03-30,2026-06-28 16:57:12.401188,0.05
120,120,Tere Barrera,23,F,Casado,Docente,2838.87,Huancayo,,72,2020-06-26,2026-06-28 16:57:12.401188,0.93
121,121,Serafina Amador,55,F,Viudo,Técnico,2906.25,Cusco,Clientes Leales,38,2023-04-23,2026-06-28 16:57:12.401188,0.63
122,122,Leandra Vizcaíno,39,F,Divorciado,Docente,1047.72,Arequipa,Clientes Leales,7,2025-11-18,2026-06-28 16:57:12.401188,0.01
123,123,Marcelo Gomez,32,M,Divorciado,Médico,4195.12,Cusco,Campeones,4,2026-02-02,2026-06-28 16:57:12.401188,0.06
124,124,Telmo Bartolomé,66,M,Casado,Técnico,779.68,Piura,,76,2020-01-29,2026-06-28 16:57:12.401188,0.86
125,125,Raquel Baños,35,F,Soltero,Contador,2571.16,Arequipa,Campeones,31,2023-11-19,2026-06-28 16:57:12.401188,0.08
126,126,Marisa Rodriguez,32,F,Soltero,Técnico,6729.62,Cusco,Clientes Regulares,77,2020-01-05,2026-06-28 16:57:12.401188,0.66
127,127,Marcelo Alfaro,26,M,Conviviente,Docente,997.93,Lima,Clientes Regulares,95,2018-07-06,2026-06-28 16:57:12.401188,0.02
128,128,José Luis Noriega,58,M,Conviviente,Docente,1287.2,Piura,Clientes Leales,88,2019-02-25,2026-06-28 16:57:12.401188,0.76
129,129,Dimas Palomares,48,M,Soltero,Docente,1919.44,Piura,En Riesgo,56,2021-10-27,2026-06-28 16:57:12.401188,0.73
130,130,Brígida Casado,25,F,Soltero,Economista,1336.64,Huancayo,Clientes Regulares,47,2022-06-30,2026-06-28 16:57:12.401188,0.04
131,131,Vicente Nadal,61,M,Conviviente,Docente,713.09,Lima,En Riesgo,81,2019-09-14,2026-06-28 16:57:12.401188,0.06
132,132,Pía Perera,33,F,Conviviente,Economista,1883.97,Iquitos,Clientes Regulares,26,2024-04-04,2026-06-28 16:57:12.401188,0.07
133,133,Carmina Agustí,32,F,Viudo,Docente,955.87,Iquitos,Campeones,50,2022-04-08,2026-06-28 16:57:12.401188,0.83
134,134,Jeremías Mariño,45,M,Conviviente,Técnico,2402.24,Lima,Campeones,25,2024-05-18,2026-06-28 16:57:12.401188,0.83
135,135,Armando Alcántara,66,M,Divorciado,Administrador,1041.43,Lima,Clientes Leales,17,2025-01-06,2026-06-28 16:57:12.401188,0.21
136,136,Javier Ros,28,M,Casado,Ingeniero,4582.32,Chiclayo,Clientes Regulares,78,2019-12-13,2026-06-28 16:57:12.401188,0.14
137,137,Vicenta Jaume,46,F,Divorciado,Ingeniero,1130.08,Lima,Clientes Regulares,21,2024-08-29,2026-06-28 16:57:12.401188,0.68
138,138,Elisabet Navas,36,F,Soltero,Administrador,1490.35,Lima,Clientes Leales,63,2021-03-04,2026-06-28 16:57:12.401188,0.49
139,139,José Luis Ruiz,34,M,Viudo,Médico,2945.73,Cusco,Clientes Leales,22,2024-08-12,2026-06-28 16:57:12.401188,0.24
140,140,Violeta Exposito,32,F,Casado,Médico,863.92,Lima,Campeones,81,2019-09-03,2026-06-28 16:57:12.401188,0.21
141,141,Adelia Sanmartín,28,F,Viudo,Médico,2072.43,Piura,Clientes Leales,21,2024-09-03,2026-06-28 16:57:12.401188,0.55
142,142,Yéssica Aguado,62,F,Divorciado,Arquitecto,3961.13,Cusco,Campeones,7,2025-11-06,2026-06-28 16:57:12.401188,0.11
143,143,Sosimo Carballo,49,M,Viudo,Técnico,689.19,Trujillo,Clientes Leales,91,2018-11-26,2026-06-28 16:57:12.401188,0.1
145,145,Mónica Reguera,54,F,Conviviente,Ingeniero,2113.14,Lima,Clientes Regulares,11,2025-07-16,2026-06-28 16:57:12.401188,0.72
146,146,Anna Benet,48,F,Divorciado,Abogado,2890.24,Iquitos,Clientes Leales,14,2025-04-22,2026-06-28 16:57:12.401188,0.52
147,147,Ulises Madrid,45,M,Viudo,Comerciante,860.77,Chiclayo,Clientes Regulares,35,2023-07-08,2026-06-28 16:57:12.401188,0.08
148,148,Cristian Vilar,39,M,Casado,Comerciante,818.71,Chiclayo,Clientes Regulares,11,2025-07-07,2026-06-28 16:57:12.401188,0.05
149,149,Máxima Acero,62,F,Conviviente,Ingeniero,2472.94,Piura,En Riesgo,63,2021-03-26,2026-06-28 16:57:12.401188,0.1
150,150,Jacinta Cruz,23,F,Soltero,Independiente,2160.71,Chiclayo,Clientes Regulares,67,2020-10-30,2026-06-28 16:57:12.401188,0.15
151,151,Delfina Bosch,73,F,Viudo,Ingeniero,2101.27,Lima,Campeones,101,2018-01-05,2026-06-28 16:57:12.401188,0.56
152,152,Josefa Perez,51,F,Viudo,Independiente,2225.79,Lima,Clientes Regulares,18,2024-12-25,2026-06-28 16:57:12.401188,0.03
153,153,Rolando Carbajo,31,M,Divorciado,Enfermero,1202.29,Piura,Clientes Leales,28,2024-02-28,2026-06-28 16:57:12.401188,0.02
154,154,Nazario Gimeno,25,M,Casado,Docente,2078.4,Cusco,Campeones,17,2025-01-24,2026-06-28 16:57:12.401188,0.65
155,155,Eugenio Guzman,18,M,Casado,Médico,2155.64,Piura,Clientes Regulares,46,2022-07-30,2026-06-28 16:57:12.401188,0.13
156,156,Gala Ibarra,25,F,Divorciado,Arquitecto,1177.78,Arequipa,Clientes Regulares,81,2019-09-23,2026-06-28 16:57:12.401188,0.07
157,157,Sancho Villalobos,44,M,Viudo,Arquitecto,5538.42,Lima,Clientes Regulares,38,2023-04-19,2026-06-28 16:57:12.401188,0.16
158,158,Graciano Lerma,42,M,Soltero,Docente,2402.58,Chiclayo,Clientes Leales,21,2024-09-21,2026-06-28 16:57:12.401188,0.35
159,159,Leonardo Mate,39,M,Divorciado,Técnico,884.67,Arequipa,Campeones,65,2020-12-30,2026-06-28 16:57:12.401188,0.89
160,160,Dorita Arroyo,71,F,Casado,Enfermero,2680.97,Cusco,Campeones,23,2024-07-03,2026-06-28 16:57:12.401188,0.8
161,161,Candelaria Gomez,48,F,Viudo,Comerciante,1007.46,Lima,Clientes Regulares,57,2021-09-23,2026-06-28 16:57:12.401188,0.02
162,162,Francisca Landa,62,F,Casado,Independiente,2899.38,Chiclayo,Clientes Regulares,24,2024-05-31,2026-06-28 16:57:12.401188,0.03
164,164,Lorena Toledo,68,F,Soltero,Abogado,1104.99,Cusco,En Riesgo,81,2019-09-16,2026-06-28 16:57:12.401188,0.04
165,165,Carlota Palma,55,F,Soltero,Arquitecto,3222.86,Piura,Clientes Regulares,88,2019-02-16,2026-06-28 16:57:12.401188,0.11
166,166,Agustín Novoa,18,M,Soltero,Enfermero,2316.17,Arequipa,Clientes Regulares,46,2022-08-07,2026-06-28 16:57:12.401188,0.59
167,167,Etelvina Vall,39,F,Soltero,Comerciante,2960.86,Huancayo,Clientes Regulares,8,2025-10-08,2026-06-28 16:57:12.401188,0.23
144,144,Matías Bas,56,M,Casado,Administrador,2019.85,Iquitos,,98,2018-04-16,2026-06-28 16:57:12.401188,1.0
168,168,Carla Palma,72,F,Viudo,Arquitecto,5642.46,Lima,Clientes Regulares,50,2022-04-06,2026-06-28 16:57:12.401188,0.01
169,169,Mamen Casal,57,F,Casado,Técnico,1560.51,Lima,Clientes Leales,70,2020-08-19,2026-06-28 16:57:12.401188,0.33
170,170,Lino Piña,45,M,Viudo,Abogado,1150.28,Arequipa,Clientes Leales,16,2025-02-08,2026-06-28 16:57:12.401188,0.31
171,171,Florencia Boix,74,F,Soltero,Docente,1060.28,Trujillo,Clientes Regulares,95,2018-07-08,2026-06-28 16:57:12.401188,0.1
172,172,Joel Sedano,41,M,Conviviente,Empresario,1108.22,Iquitos,Clientes Regulares,82,2019-08-20,2026-06-28 16:57:12.401188,0.21
173,173,Heriberto Saura,61,M,Soltero,Economista,1726.31,Chiclayo,Clientes Regulares,79,2019-11-28,2026-06-28 16:57:12.401188,0.09
174,174,Emma Zamora,57,F,Conviviente,Abogado,2218.73,Lima,Clientes Leales,69,2020-09-13,2026-06-28 16:57:12.401188,0.24
175,175,María Del Carmen Mariscal,47,F,Divorciado,Administrador,2134.56,Lima,Clientes Regulares,67,2020-11-06,2026-06-28 16:57:12.401188,0.17
176,176,Américo Barba,75,M,Soltero,Enfermero,2969.98,Trujillo,Clientes Regulares,63,2021-03-24,2026-06-28 16:57:12.401188,0.0
177,177,Charo Piquer,55,F,Divorciado,Enfermero,1822.2,Arequipa,Clientes Regulares,15,2025-03-02,2026-06-28 16:57:12.401188,0.14
178,178,Graciano Pellicer,30,M,Casado,Empresario,4324.8,Iquitos,Clientes Leales,36,2023-06-03,2026-06-28 16:57:12.401188,0.64
179,179,Malena Sancho,40,F,Soltero,Administrador,1542.57,Chiclayo,Clientes Leales,62,2021-04-26,2026-06-28 16:57:12.401188,0.01
180,180,Josep Barba,34,M,Conviviente,Técnico,9247.44,Piura,Clientes Regulares,25,2024-05-07,2026-06-28 16:57:12.401188,0.0
181,181,Brunilda Comas,71,F,Casado,Administrador,2631.74,Lima,Clientes Regulares,70,2020-07-31,2026-06-28 16:57:12.401188,0.11
182,182,Jose Ramón Oliver,57,M,Soltero,Administrador,1081.07,Huancayo,Clientes Leales,10,2025-08-08,2026-06-28 16:57:12.401188,0.82
183,183,Tristán Prieto,20,M,Conviviente,Comerciante,950.95,Lima,Clientes Regulares,42,2022-12-11,2026-06-28 16:57:12.401188,0.04
184,184,Aurora Linares,23,F,Casado,Contador,2415.07,Lima,Clientes Leales,57,2021-08-31,2026-06-28 16:57:12.401188,0.66
185,185,Claudia Guijarro,68,F,Casado,Docente,1581.17,Piura,En Riesgo,52,2022-02-07,2026-06-28 16:57:12.401188,0.75
186,186,Ainara Arjona,69,F,Soltero,Enfermero,2774.98,Lima,Clientes Regulares,1,2026-05-16,2026-06-28 16:57:12.401188,0.05
187,187,Daniela Gálvez,27,F,Conviviente,Comerciante,2401.73,Lima,,10,2025-08-02,2026-06-28 16:57:12.401188,0.92
188,188,Sarita Armas,68,F,Conviviente,Médico,1730.74,Piura,Clientes Regulares,100,2018-02-27,2026-06-28 16:57:12.401188,0.02
189,189,Diana Garriga,41,F,Conviviente,Empresario,1087.81,Huancayo,Clientes Regulares,1,2026-05-26,2026-06-28 16:57:12.401188,0.0
190,190,Chus Seco,41,M,Viudo,Ingeniero,728.58,Iquitos,Clientes Regulares,11,2025-07-27,2026-06-28 16:57:12.401188,0.11
191,191,Seve Casado,74,M,Soltero,Administrador,1383.11,Piura,Clientes Regulares,57,2021-09-05,2026-06-28 16:57:12.401188,0.03
192,192,Ascensión Ortiz,62,F,Soltero,Abogado,3022.5,Lima,Clientes Regulares,14,2025-04-13,2026-06-28 16:57:12.401188,0.01
193,193,Lupe Bautista,20,M,Soltero,Contador,2055.87,Cusco,Campeones,35,2023-07-11,2026-06-28 16:57:12.401188,0.22
194,194,Calixta Franch,26,F,Conviviente,Empresario,856.25,Iquitos,Clientes Leales,40,2023-02-02,2026-06-28 16:57:12.401188,0.83
195,195,Agapito Noguera,65,M,Viudo,Economista,2006.02,Chiclayo,Clientes Regulares,46,2022-08-27,2026-06-28 16:57:12.401188,0.05
196,196,Dalila Borrego,35,F,Casado,Enfermero,2278.31,Piura,Clientes Regulares,9,2025-09-28,2026-06-28 16:57:12.401188,0.1
197,197,Vera Aguilera,33,F,Conviviente,Administrador,1063.89,Trujillo,Clientes Regulares,88,2019-02-11,2026-06-28 16:57:12.401188,0.04
198,198,Armando Prats,21,M,Soltero,Enfermero,1982.74,Lima,Campeones,64,2021-02-04,2026-06-28 16:57:12.401188,0.86
199,199,Nilo Manzano,60,M,Soltero,Independiente,1872.3,Trujillo,Campeones,15,2025-03-13,2026-06-28 16:57:12.401188,0.21
200,200,Inocencio Esteban,33,M,Soltero,Independiente,910.7,Cusco,Clientes Leales,25,2024-05-01,2026-06-28 16:57:12.401188,0.79
201,201,Zacarías Fernandez,31,M,Divorciado,Independiente,2240.99,Lima,Clientes Regulares,72,2020-06-03,2026-06-28 16:57:12.401188,0.18
202,202,Mariana Romeu,68,F,Casado,Abogado,2531.26,Cusco,Clientes Leales,101,2018-01-12,2026-06-28 16:57:12.401188,0.25
203,203,Isidro Guijarro,34,M,Casado,Ingeniero,3462.79,Trujillo,Clientes Regulares,87,2019-03-27,2026-06-28 16:57:12.401188,0.08
204,204,Tatiana Prieto,68,F,Soltero,Abogado,3402.55,Arequipa,Clientes Regulares,22,2024-08-08,2026-06-28 16:57:12.401188,0.71
205,205,Matilde Adadia,21,F,Conviviente,Médico,791.08,Lima,Clientes Regulares,2,2026-04-27,2026-06-28 16:57:12.401188,0.01
206,206,Porfirio Ramirez,48,M,Viudo,Arquitecto,1029.99,Lima,Campeones,53,2022-01-22,2026-06-28 16:57:12.401188,0.26
207,207,Rosa María Ferreras,57,F,Viudo,Administrador,2462.72,Lima,Clientes Leales,4,2026-02-26,2026-06-28 16:57:12.401188,0.16
208,208,Teófila Barba,21,F,Soltero,Enfermero,2460.87,Piura,Campeones,47,2022-07-04,2026-06-28 16:57:12.401188,0.84
209,209,Quique Lobato,22,M,Soltero,Abogado,2462.74,Arequipa,Campeones,58,2021-08-12,2026-06-28 16:57:12.401188,0.12
210,210,Emiliana Ramis,57,F,Viudo,Economista,18244.86,Cusco,Clientes Regulares,23,2024-07-25,2026-06-28 16:57:12.401188,0.11
211,211,Cayetana Oliva,36,F,Soltero,Independiente,2546.65,Lima,Clientes Regulares,33,2023-09-02,2026-06-28 16:57:12.401188,0.08
212,212,Edgardo Folch,72,M,Viudo,Enfermero,3573.64,Lima,Clientes Regulares,14,2025-04-20,2026-06-28 16:57:12.401188,0.0
213,213,Margarita Amorós,44,F,Viudo,Técnico,3204.79,Lima,Clientes Regulares,40,2023-02-01,2026-06-28 16:57:12.401188,0.83
214,214,Débora Cobos,38,F,Divorciado,Abogado,2672.67,Huancayo,En Riesgo,59,2021-07-04,2026-06-28 16:57:12.401188,0.11
215,215,Clemente Nadal,48,M,Soltero,Empresario,1496.43,Lima,Clientes Regulares,89,2019-01-09,2026-06-28 16:57:12.401188,0.08
216,216,Isaías Tolosa,65,M,Conviviente,Arquitecto,2850.88,Cusco,Clientes Regulares,84,2019-06-17,2026-06-28 16:57:12.401188,0.04
217,217,Reyna Santiago,39,F,Divorciado,Administrador,1137.18,Chiclayo,Clientes Leales,85,2019-05-16,2026-06-28 16:57:12.401188,0.77
218,218,Maxi Colom,73,F,Divorciado,Médico,1568.55,Iquitos,Clientes Regulares,63,2021-03-24,2026-06-28 16:57:12.401188,0.06
219,219,Purificación Barragán,50,F,Casado,Médico,1351.25,Trujillo,En Riesgo,81,2019-09-26,2026-06-28 16:57:12.401188,0.04
220,220,Jordán Pina,72,M,Divorciado,Economista,1899.08,Lima,Campeones,52,2022-02-14,2026-06-28 16:57:12.401188,0.59
221,221,Angelino Sainz,69,M,Conviviente,Administrador,7250.28,Arequipa,Clientes Regulares,26,2024-04-16,2026-06-28 16:57:12.401188,0.03
222,222,Rufina Torrent,19,F,Divorciado,Comerciante,589.72,Lima,Clientes Leales,65,2021-01-24,2026-06-28 16:57:12.401188,0.03
223,223,Flor Lumbreras,29,F,Soltero,Abogado,2729.18,Huancayo,Campeones,25,2024-05-08,2026-06-28 16:57:12.401188,0.11
224,224,José Antonio Landa,19,M,Viudo,Empresario,687.02,Piura,Clientes Leales,1,2026-05-15,2026-06-28 16:57:12.401188,0.02
225,225,Lorena Hurtado,39,F,Divorciado,Independiente,1362.18,Iquitos,Clientes Regulares,52,2022-02-24,2026-06-28 16:57:12.401188,0.03
226,226,Severo Puga,56,M,Casado,Independiente,3475.07,Iquitos,En Riesgo,94,2018-08-04,2026-06-28 16:57:12.401188,0.72
227,227,Patricia Diego,21,F,Viudo,Administrador,1879.14,Chiclayo,Clientes Regulares,90,2018-12-01,2026-06-28 16:57:12.401188,0.66
228,228,Genoveva Asensio,49,F,Divorciado,Contador,947.05,Cusco,,42,2022-12-16,2026-06-28 16:57:12.401188,1.0
229,229,Mauricio Cueto,25,M,Divorciado,Administrador,1177.11,Huancayo,Clientes Leales,44,2022-10-27,2026-06-28 16:57:12.401188,0.18
230,230,Guiomar Gibert,55,F,Soltero,Contador,2718.29,Chiclayo,Clientes Leales,30,2023-11-29,2026-06-28 16:57:12.401188,0.29
231,231,Tadeo Bueno,56,M,Divorciado,Contador,1166.52,Lima,Clientes Leales,100,2018-02-01,2026-06-28 16:57:12.401188,0.75
232,232,Esperanza Herrero,66,F,Soltero,Ingeniero,2058.79,Piura,Clientes Leales,62,2021-03-31,2026-06-28 16:57:12.401188,0.61
233,233,Jose Angel Soto,65,M,Viudo,Arquitecto,1858.16,Lima,Clientes Leales,78,2019-12-21,2026-06-28 16:57:12.401188,0.81
234,234,Dominga Cerezo,50,F,Soltero,Empresario,1222.97,Lima,Campeones,11,2025-06-29,2026-06-28 16:57:12.401188,0.19
235,235,Flavio Segarra,44,M,Divorciado,Economista,6544.41,Chiclayo,Campeones,40,2023-02-27,2026-06-28 16:57:12.401188,0.77
236,236,América Gomila,54,F,Divorciado,Médico,2644.8,Chiclayo,Clientes Leales,6,2025-12-16,2026-06-28 16:57:12.401188,0.74
237,237,Palmira Asensio,19,F,Divorciado,Médico,536.42,Chiclayo,Clientes Leales,78,2019-12-05,2026-06-28 16:57:12.401188,0.07
238,238,Crescencia Prada,72,F,Conviviente,Empresario,2022.06,Cusco,Clientes Leales,69,2020-09-23,2026-06-28 16:57:12.401188,0.09
239,239,Regina Piñeiro,23,F,Casado,Comerciante,1215.52,Lima,Clientes Leales,60,2021-06-24,2026-06-28 16:57:12.401188,0.17
